org_id,organization_name,industry,company_size,employees,system_id,system_name,system_type,age_years,operating_system,authentication_method,primary_protocol,has_api,supports_mfa,encryption_standard,session_based_auth,continuous_auth_capable,zta_compatibility_score,integration_difficulty,system_criticality,replacement_cost_usd,active_users,avg_auth_frequency_hours,lateral_movement_risk,vendor_support_available,compliance_requirements,network_segmentation,logging_capability,patch_frequency_months,integration_approach_recommended,days_since_last_incident,auth_failures_per_day,avg_session_duration_minutes,privileged_accounts_count
ORG011,Beta Banking Inc,Banking,Enterprise,27381,SYS011,LegacyERPSystem9,ERP System,9,Windows Server 2012,Certificate-based,Telnet,No,No,TLS 1.1,Yes,No,7.94,Low,High,4174131,2249,19.97,Low,Yes,PCI-DSS,Advanced,Comprehensive,22,Identity Proxy,908,15,59,217
ORG012,Omega Transportation Systems,Transportation,Small,491,SYS012,LegacyLegacyDatabase41,Legacy Database,11,Windows Server 2008,Kerberos,ODBC,No,No,AES-256,Yes,No,7.41,Low,Critical,17128891,84,17.04,Low,Yes,ISO 27001,Basic,Moderate,6,Identity Proxy,686,20,165,4
ORG013,Gamma Healthcare Group,Healthcare,Small,368,SYS013,LegacyClient-Server15,Client-Server,11,Red Hat Linux 5,LDAP,Telnet,No,No,AES-128,Yes,No,9.1,Low,Medium,1687477,46,10.52,Low,Yes,GDPR,Basic,Moderate,23,Identity Proxy,671,47,83,4
ORG014,Omega Healthcare Inc,Healthcare,Large,3274,SYS014,LegacyEmbeddedSystem95,Embedded System,24,UNIX AIX,Password-only,SMB,No,No,None,Yes,No,2.37,Very High,Medium,3129959,1500,12.02,Critical,Yes,HIPAA,None,Basic,14,Replacement Required,52,51,200,122
ORG015,Prime Insurance Solutions,Insurance,Large,5504,SYS015,LegacyMainframe53,Mainframe,18,Windows Server 2003,Password-only,Telnet,No,No,SSL 2.0,Yes,No,3.07,High,High,5117458,803,14.88,High,Yes,ISO 27001,None,Moderate,7,Network Overlay,137,399,157,58
ORG016,United Transportation Group,Transportation,Large,9584,SYS016,LegacyLegacyDatabase40,Legacy Database,7,Red Hat Linux 5,Certificate-based,HTTP,No,Yes,AES-128,Yes,No,10.0,Low,Low,815055,1046,10.55,Low,Yes,GDPR,Advanced,Comprehensive,7,Identity Proxy,846,19,132,89
ORG017,Global Retail Group,Retail,Medium,1852,SYS017,LegacyLegacyDatabase94,Legacy Database,11,Oracle Linux 6,LDAP,FTP,No,No,AES-128,Yes,No,8.04,Low,Medium,2012526,374,13.3,Low,Yes,None,Advanced,Comprehensive,11,Identity Proxy,959,21,49,10
ORG018,Beta Education Group,Education,Medium,1548,SYS018,LegacyClient-Server65,Client-Server,16,Windows Server 2008,LDAP,HTTP,No,No,SSL 2.0,Yes,No,4.54,High,Medium,2364607,451,19.51,High,Yes,ISO 27001,Basic,Moderate,8,Identity Proxy,199,44,190,32
ORG019,United Government Systems,Government,Large,4673,SYS019,LegacyFileServer57,File Server,9,Red Hat Linux 5,Kerberos,RDP,Yes,No,AES-128,Yes,No,10.0,Low,Low,1099187,1116,14.5,Low,Yes,FISMA,Basic,Comprehensive,12,API Gateway,805,42,340,80
ORG020,Beta Retail Systems,Retail,Large,8503,SYS020,LegacyMonolithicWebApp54,Monolithic Web App,15,Windows Server 2008,LDAP,JDBC,No,No,AES-256,Yes,No,7.27,Low,High,5932716,981,18.76,Low,Yes,None,Advanced,Moderate,7,Identity Proxy,615,35,342,86
ORG021,United Transportation Solutions,Transportation,Medium,1927,SYS021,LegacyFileServer72,File Server,12,Windows Server 2012,Kerberos,Telnet,No,No,AES-256,Yes,No,8.38,Low,Low,1277941,498,14.8,Low,Yes,None,Basic,Moderate,23,Identity Proxy,620,12,263,15
ORG022,Omega Transportation Group,Transportation,Medium,1407,SYS022,LegacyFileServer41,File Server,13,Windows Server 2012,Kerberos,SOAP,No,No,AES-128,Yes,No,7.19,Low,High,4974545,241,20.25,Low,Yes,GDPR,Basic,Moderate,14,Identity Proxy,815,9,395,10
ORG023,Omega Telecom Systems,Telecom,Small,127,SYS023,LegacyLegacyDatabase54,Legacy Database,11,Red Hat Linux 5,Kerberos,FTP,No,No,AES-128,Yes,No,8.15,Low,Medium,1735970,17,11.31,Low,Yes,ISO 27001,Basic,Moderate,24,Identity Proxy,754,35,33,1
ORG024,Global Telecom Inc,Telecom,Large,6474,SYS024,LegacyLegacyDatabase60,Legacy Database,12,Red Hat Linux 5,LDAP,RDP,No,No,AES-128,Yes,No,7.06,Low,High,5048527,1328,19.59,Low,Yes,ISO 27001,Advanced,Moderate,18,Identity Proxy,971,41,369,29
ORG025,Alpha Manufacturing Corp,Manufacturing,Small,244,SYS025,LegacyDesktopApplication32,Desktop Application,13,Windows Server 2012,LDAP,SMB,No,No,AES-128,Yes,No,7.22,Low,Low,1460510,42,21.36,Low,Yes,ISO 27001,Advanced,Moderate,17,Identity Proxy,594,46,65,3
ORG026,Global Retail Systems,Retail,Enterprise,19987,SYS026,LegacyLegacyDatabase92,Legacy Database,7,Windows Server 2012,Active Directory,ODBC,Yes,No,AES-128,Yes,No,10.0,Low,Critical,15887922,4942,9.83,Low,Yes,None,Basic,Moderate,5,API Gateway,391,24,324,366
ORG027,Gamma Retail Systems,Retail,Small,403,SYS027,LegacyLegacyDatabase23,Legacy Database,6,Oracle Linux 6,Active Directory,ODBC,Yes,No,AES-128,Yes,No,10.0,Low,Critical,16463973,53,8.2,Low,Yes,ISO 27001,Basic,Moderate,4,API Gateway,735,45,454,3
ORG028,United Telecom Inc,Telecom,Enterprise,27701,SYS028,LegacyERPSystem46,ERP System,12,Windows Server 2012,LDAP,SMB,No,No,TLS 1.1,Yes,No,6.66,Medium,Critical,20991316,3846,11.9,Medium,Yes,ISO 27001,Basic,Comprehensive,3,Identity Proxy,394,36,465,176
ORG029,Omega Government Solutions,Government,Medium,1721,SYS029,LegacyEmbeddedSystem48,Embedded System,15,Red Hat Linux 5,Active Directory,SSH,No,No,AES-256,Yes,No,6.81,Medium,Medium,1951997,453,15.62,Medium,No,ISO 27001,Basic,Moderate,25,Identity Proxy,666,19,237,34
ORG030,National Insurance Solutions,Insurance,Large,4817,SYS030,LegacyFileServer37,File Server,13,Oracle Linux 6,LDAP,SOAP,No,No,AES-128,Yes,No,7.28,Low,High,5325285,894,13.05,Low,Yes,GDPR,Advanced,Moderate,12,Identity Proxy,860,22,400,60
ORG031,Prime Healthcare Inc,Healthcare,Enterprise,29415,SYS031,LegacyLegacyDatabase7,Legacy Database,10,Red Hat Linux 5,LDAP,HTTP,No,No,AES-256,Yes,No,8.73,Low,Critical,6914794,4266,12.67,Low,Yes,HIPAA,Basic,Moderate,1,Identity Proxy,952,23,270,248
ORG032,Delta Government Solutions,Government,Enterprise,41309,SYS032,LegacyClient-Server49,Client-Server,11,Windows Server 2012,Certificate-based,FTP,No,No,AES-256,Yes,No,8.59,Low,Critical,8603120,4305,23.19,Low,Yes,FISMA,Advanced,Moderate,5,Identity Proxy,791,43,335,358
ORG033,Omega Insurance Group,Insurance,Enterprise,29488,SYS033,LegacyFileServer90,File Server,9,Windows Server 2008,Active Directory,SSH,Yes,No,AES-128,Yes,No,10.0,Low,Critical,8816107,4260,9.2,Low,Yes,None,Basic,Comprehensive,6,API Gateway,973,35,179,96
ORG034,Omega Insurance Solutions,Insurance,Small,169,SYS034,LegacyEmbeddedSystem70,Embedded System,21,Solaris 10,Password-only,JDBC,No,No,None,Yes,No,3.3,High,Low,2187286,19,8.95,High,No,GDPR,None,Basic,31,Identity Proxy,269,402,185,1
ORG035,Omega Insurance Inc,Insurance,Medium,1725,SYS035,LegacyMainframe75,Mainframe,28,Windows XP,None,LDAP,No,No,None,No,No,1.0,Very High,Low,2855438,491,120.81,Critical,No,GDPR,None,None,36,Replacement Required,119,290,295,35
ORG036,Omega Energy Group,Energy,Large,6029,SYS036,LegacyClient-Server15,Client-Server,17,Red Hat Linux 5,LDAP,SMB,No,No,TLS 1.0,Yes,No,4.67,High,Low,1836456,1343,19.1,High,No,GDPR,Basic,Moderate,36,Identity Proxy,311,7,262,36
ORG037,International Energy Inc,Energy,Enterprise,10076,SYS037,LegacyERPSystem91,ERP System,11,Windows Server 2008,Kerberos,JDBC,No,No,AES-128,Yes,No,8.58,Low,High,3954054,2211,11.26,Low,Yes,GDPR,Advanced,Comprehensive,20,Identity Proxy,1080,36,92,49
ORG038,International Manufacturing Solutions,Manufacturing,Medium,529,SYS038,LegacyFileServer96,File Server,6,Red Hat Linux 5,Active Directory,SOAP,Yes,No,TLS 1.1,Yes,No,10.0,Low,Medium,1333590,461,12.37,Low,Yes,ISO 27001,Basic,Moderate,20,API Gateway,929,14,226,16
ORG039,Prime Manufacturing Inc,Manufacturing,Enterprise,28105,SYS039,LegacyFileServer90,File Server,10,Oracle Linux 6,Active Directory,LDAP,No,No,AES-256,Yes,No,8.26,Low,Medium,1891998,4005,21.84,Low,Yes,ISO 27001,Basic,Comprehensive,16,Identity Proxy,930,39,223,225
ORG040,Gamma Retail Systems,Retail,Large,3914,SYS040,LegacyFileServer84,File Server,5,Oracle Linux 6,Certificate-based,RDP,Yes,No,AES-256,Yes,No,10.0,Low,High,1655271,758,16.04,Low,Yes,GDPR,Basic,Moderate,20,API Gateway,467,38,263,16
ORG041,Omega Manufacturing Inc,Manufacturing,Small,450,SYS041,LegacyEmbeddedSystem96,Embedded System,25,UNIX AIX,None,RDP,No,No,SSL 2.0,No,No,1.0,Very High,High,6328460,78,78.72,Critical,No,GDPR,None,Basic,32,Replacement Required,48,366,65,3
ORG042,Global Healthcare Solutions,Healthcare,Medium,702,SYS042,LegacyClient-Server88,Client-Server,17,Windows Server 2008,Password-only,LDAP,No,No,3DES,Yes,No,3.43,High,High,3930473,283,14.0,High,Yes,HIPAA,None,Moderate,24,Identity Proxy,117,139,70,19
ORG043,United Retail Group,Retail,Large,6778,SYS043,LegacyMonolithicWebApp26,Monolithic Web App,8,Windows Server 2012,LDAP,SOAP,No,No,TLS 1.1,Yes,No,8.13,Low,High,3006414,1887,16.75,Low,Yes,None,Basic,Comprehensive,24,Identity Proxy,671,45,247,141
ORG044,Delta Energy Solutions,Energy,Enterprise,16990,SYS044,LegacyLegacyDatabase33,Legacy Database,11,Oracle Linux 6,LDAP,LDAP,No,No,TLS 1.1,Yes,No,7.29,Low,Medium,1587813,2033,17.05,Low,Yes,GDPR,Advanced,Comprehensive,15,Identity Proxy,600,43,440,97
ORG045,Gamma Manufacturing Group,Manufacturing,Large,9401,SYS045,LegacyMainframe62,Mainframe,24,Solaris 10,Password-only,ODBC,No,No,DES,Yes,No,2.46,Very High,Critical,12351131,1169,19.96,Critical,Yes,None,None,None,5,Replacement Required,217,321,286,108
ORG046,Omega Government Solutions,Government,Large,4775,SYS046,LegacyClient-Server49,Client-Server,17,Windows Server 2003,NTLM,SSH,No,No,SSL 2.0,Yes,No,4.78,High,Low,1896096,1249,9.44,High,No,FISMA,Basic,Moderate,32,Identity Proxy,93,34,218,92
ORG047,Prime Education Solutions,Education,Small,169,SYS047,LegacyERPSystem54,ERP System,5,Oracle Linux 6,Kerberos,FTP,Yes,No,AES-256,Yes,No,10.0,Low,High,2086267,15,23.14,Low,Yes,ISO 27001,Basic,Moderate,9,API Gateway,605,39,99,1
ORG048,Global Transportation Group,Transportation,Large,3266,SYS048,LegacyFileServer25,File Server,15,Windows Server 2008,Certificate-based,ODBC,No,No,AES-128,Yes,No,7.88,Low,High,5395246,1258,11.48,Low,No,None,Basic,Moderate,34,Identity Proxy,741,39,360,61
ORG049,International Healthcare Corp,Healthcare,Enterprise,39801,SYS049,LegacyClient-Server36,Client-Server,20,Windows Server 2008,Password-only,ODBC,No,No,3DES,Yes,No,2.43,Very High,Critical,9112652,4312,11.28,Critical,Yes,GDPR,None,Basic,2,Replacement Required,198,446,105,358
ORG050,United Manufacturing Systems,Manufacturing,Enterprise,45404,SYS050,LegacyEmbeddedSystem47,Embedded System,20,Windows Server 2003,Password-only,HTTP,No,No,3DES,Yes,No,2.36,Very High,Medium,2449489,4411,13.18,Critical,Yes,ISO 27001,None,Basic,10,Replacement Required,245,319,88,351
ORG051,Gamma Telecom Group,Telecom,Large,5703,SYS051,LegacyLegacyDatabase80,Legacy Database,14,Windows Server 2008,LDAP,SOAP,No,No,AES-256,Yes,No,8.26,Low,Critical,14435982,1322,14.82,Low,Yes,None,Basic,Comprehensive,1,Identity Proxy,447,25,341,42
ORG052,Global Transportation Systems,Transportation,Large,4664,SYS052,LegacyFileServer94,File Server,14,Oracle Linux 6,Certificate-based,JDBC,No,No,AES-256,Yes,No,7.19,Low,Medium,1719971,1840,18.41,Low,Yes,GDPR,Advanced,Comprehensive,20,Identity Proxy,598,31,203,158
ORG053,Global Healthcare Group,Healthcare,Medium,1141,SYS053,LegacyEmbeddedSystem86,Embedded System,26,AS/400,None,SOAP,No,No,None,No,No,1.0,Very High,Critical,14845685,149,131.22,Critical,No,HIPAA,None,None,33,Replacement Required,317,337,198,10
ORG054,International Energy Solutions,Energy,Enterprise,13372,SYS054,LegacyEmbeddedSystem87,Embedded System,24,Windows XP,Password-only,ODBC,No,No,SSL 2.0,Yes,No,1.43,Very High,Medium,2835137,2443,13.6,Critical,No,None,None,Basic,33,Replacement Required,145,463,249,214
ORG055,Prime Telecom Inc,Telecom,Small,386,SYS055,LegacyEmbeddedSystem48,Embedded System,15,Red Hat Linux 5,LDAP,LDAP,No,No,AES-128,Yes,No,6.7,Medium,Critical,8903361,82,18.52,Medium,Yes,None,Basic,Moderate,1,Identity Proxy,908,18,222,4
ORG056,Omega Government Solutions,Government,Large,8364,SYS056,LegacyClient-Server63,Client-Server,10,Red Hat Linux 5,Kerberos,ODBC,No,No,TLS 1.1,Yes,No,7.01,Low,High,4776372,1368,15.77,Low,Yes,ISO 27001,Basic,Comprehensive,12,Identity Proxy,889,12,206,74
ORG057,National Telecom Solutions,Telecom,Large,2373,SYS057,LegacyLegacyDatabase86,Legacy Database,11,Windows Server 2008,Active Directory,SSH,No,No,AES-128,Yes,No,9.22,Low,Medium,1567931,1092,13.25,Low,Yes,None,Basic,Comprehensive,11,Identity Proxy,497,29,302,83
ORG058,Prime Education Corp,Education,Small,491,SYS058,LegacyMainframe56,Mainframe,28,IBM z/OS,Local Accounts,FTP,No,No,DES,Yes,No,1.15,Very High,Medium,3743963,91,14.68,Critical,Yes,ISO 27001,None,None,16,Replacement Required,117,44,265,7
ORG059,Omega Healthcare Inc,Healthcare,Medium,1707,SYS059,LegacyFileServer23,File Server,13,Windows Server 2008,Certificate-based,LDAP,No,No,AES-256,Yes,No,7.35,Low,Critical,9120798,139,16.17,Low,Yes,HIPAA,Advanced,Comprehensive,3,Identity Proxy,1025,14,150,3
ORG060,Omega Transportation Group,Transportation,Medium,1843,SYS060,LegacyClient-Server76,Client-Server,12,Windows Server 2012,Certificate-based,ODBC,No,No,AES-256,Yes,No,7.9,Low,Low,1397978,429,18.16,Low,Yes,GDPR,Basic,Comprehensive,10,Identity Proxy,815,9,270,23
ORG061,United Banking Solutions,Banking,Medium,652,SYS061,LegacyEmbeddedSystem20,Embedded System,29,Solaris 10,Password-only,HTTP,No,No,DES,Yes,No,1.66,Very High,Critical,22399709,146,17.84,Critical,No,SOX,None,None,31,Replacement Required,322,383,126,6
ORG062,Prime Banking Corp,Banking,Large,8644,SYS062,LegacyDesktopApplication43,Desktop Application,11,Red Hat Linux 5,Active Directory,SSH,No,No,AES-256,Yes,No,8.21,Low,Critical,14870256,1748,10.54,Low,Yes,SOX,Basic,Comprehensive,4,Identity Proxy,711,48,336,42
ORG063,Gamma Healthcare Solutions,Healthcare,Large,5167,SYS063,LegacyEmbeddedSystem12,Embedded System,23,UNIX AIX,Password-only,SMB,No,No,None,Yes,No,2.5,Very High,Critical,13169018,1135,23.48,Critical,No,HIPAA,None,None,28,Replacement Required,316,242,359,94
ORG064,Gamma Energy Inc,Energy,Large,2150,SYS064,LegacyDesktopApplication89,Desktop Application,14,Red Hat Linux 5,Kerberos,SMB,No,No,AES-128,Yes,No,6.72,Medium,Low,1490617,658,12.73,Medium,Yes,None,Basic,Moderate,16,Identity Proxy,997,13,335,32
ORG065,Global Transportation Solutions,Transportation,Enterprise,20849,SYS065,LegacyERPSystem68,ERP System,5,Windows Server 2012,LDAP,SSH,Yes,No,AES-256,Yes,No,10.0,Low,High,2503145,3267,23.45,Low,Yes,ISO 27001,Advanced,Comprehensive,24,API Gateway,816,34,423,138
ORG066,Delta Energy Systems,Energy,Enterprise,23088,SYS066,LegacyMonolithicWebApp45,Monolithic Web App,9,Windows Server 2008,Certificate-based,SMB,Yes,No,TLS 1.1,Yes,No,9.42,Low,Medium,1230734,3167,9.34,Low,Yes,None,Basic,Comprehensive,22,API Gateway,515,32,76,303
ORG067,United Banking Systems,Banking,Medium,1312,SYS067,LegacyDesktopApplication79,Desktop Application,13,Windows Server 2012,Active Directory,SMB,No,No,TLS 1.1,Yes,No,4.72,High,Medium,2249421,432,13.36,High,Yes,PCI-DSS,Basic,Moderate,7,Identity Proxy,176,35,386,37
ORG068,Alpha Banking Solutions,Banking,Enterprise,11246,SYS068,LegacyEmbeddedSystem74,Embedded System,21,AS/400,None,ODBC,No,No,SSL 2.0,No,No,2.85,Very High,High,4096735,3233,41.55,Critical,Yes,SOX,None,Basic,8,Replacement Required,86,478,285,219
ORG069,Omega Retail Corp,Retail,Large,4387,SYS069,LegacyFileServer46,File Server,5,Oracle Linux 6,Kerberos,ODBC,Yes,No,TLS 1.1,Yes,No,10.0,Low,High,5498864,1577,16.71,Low,Yes,GDPR,Advanced,Comprehensive,21,API Gateway,409,45,228,155
ORG070,Alpha Healthcare Group,Healthcare,Medium,1846,SYS070,LegacyClient-Server26,Client-Server,19,Red Hat Linux 5,NTLM,HTTP,No,No,TLS 1.0,Yes,No,3.76,High,Medium,2283594,498,18.95,High,No,GDPR,None,Basic,36,Identity Proxy,62,50,427,47
ORG071,Global Banking Systems,Banking,Large,9257,SYS071,LegacyMainframe50,Mainframe,25,Windows XP,None,RDP,No,No,SSL 2.0,No,No,1.61,Very High,Critical,18353189,891,65.2,Critical,Yes,PCI-DSS,None,Basic,3,Replacement Required,93,459,218,48
ORG072,Global Education Inc,Education,Enterprise,42520,SYS072,LegacyERPSystem89,ERP System,10,Oracle Linux 6,Active Directory,RDP,No,No,TLS 1.1,Yes,No,6.53,Medium,Low,1097305,4234,12.7,Medium,Yes,None,Basic,Moderate,16,Identity Proxy,1041,23,186,235
ORG073,Prime Insurance Group,Insurance,Medium,587,SYS073,LegacyDesktopApplication50,Desktop Application,19,Oracle Linux 6,LDAP,HTTP,No,No,3DES,Yes,No,4.01,High,High,5052038,483,18.87,High,Yes,None,Basic,Moderate,7,Identity Proxy,94,9,150,39
ORG074,Omega Transportation Systems,Transportation,Small,128,SYS074,LegacyERPSystem28,ERP System,10,Oracle Linux 6,Certificate-based,FTP,No,No,AES-256,Yes,No,7.94,Low,High,3318628,93,12.46,Low,Yes,None,Advanced,Moderate,21,Identity Proxy,895,29,317,2
ORG075,Prime Transportation Solutions,Transportation,Medium,1506,SYS075,LegacyLegacyDatabase29,Legacy Database,6,Red Hat Linux 5,Active Directory,SOAP,No,Yes,TLS 1.1,Yes,No,10.0,Low,Low,733778,441,13.56,Low,Yes,None,Basic,Comprehensive,11,Identity Proxy,1093,50,388,31
ORG076,International Healthcare Corp,Healthcare,Enterprise,19102,SYS076,LegacyLegacyDatabase17,Legacy Database,12,Windows Server 2008,LDAP,JDBC,No,No,AES-256,Yes,No,7.74,Low,Medium,1978443,2531,17.79,Low,Yes,HIPAA,Advanced,Comprehensive,18,Identity Proxy,855,38,240,206
ORG077,National Education Group,Education,Large,5687,SYS077,LegacyERPSystem11,ERP System,15,Oracle Linux 6,Kerberos,JDBC,No,No,AES-256,Yes,No,7.18,Low,Medium,1835300,1386,16.05,Low,Yes,None,Advanced,Comprehensive,11,Identity Proxy,530,25,393,52
ORG078,Delta Government Solutions,Government,Medium,1629,SYS078,LegacyEmbeddedSystem54,Embedded System,19,Red Hat Linux 5,Password-only,JDBC,No,No,3DES,Yes,No,3.67,High,Critical,16641631,178,10.74,High,No,FISMA,None,Basic,25,Identity Proxy,358,444,325,7
ORG079,Prime Transportation Systems,Transportation,Large,6080,SYS079,LegacyEmbeddedSystem17,Embedded System,24,Solaris 10,Password-only,RDP,No,No,DES,Yes,No,1.91,Very High,Medium,2765759,1400,14.65,Critical,No,None,None,Basic,33,Replacement Required,103,210,471,108
ORG080,United Education Solutions,Education,Large,2870,SYS080,LegacyDesktopApplication60,Desktop Application,13,Windows Server 2012,Active Directory,LDAP,No,No,AES-128,Yes,No,7.16,Low,Critical,11168949,1286,21.83,Low,Yes,ISO 27001,Advanced,Moderate,3,Identity Proxy,956,25,127,104
ORG081,Global Insurance Group,Insurance,Enterprise,42596,SYS081,LegacyMainframe6,Mainframe,17,Oracle Linux 6,Password-only,SOAP,No,No,3DES,Yes,No,3.76,High,High,2911981,3152,15.92,High,No,ISO 27001,None,Basic,25,Network Overlay,98,185,402,155
ORG082,Delta Energy Solutions,Energy,Small,337,SYS082,LegacyLegacyDatabase66,Legacy Database,10,Oracle Linux 6,Active Directory,RDP,No,No,AES-256,Yes,No,8.57,Low,Medium,1853516,97,17.78,Low,Yes,None,Advanced,Comprehensive,17,Identity Proxy,712,40,217,7
ORG083,National Energy Solutions,Energy,Large,2372,SYS083,LegacyMainframe63,Mainframe,19,Red Hat Linux 5,LDAP,JDBC,No,No,TLS 1.0,Yes,No,2.96,Very High,Low,1986642,1171,22.9,Critical,No,None,None,Moderate,33,Replacement Required,183,42,202,70
ORG084,International Transportation Systems,Transportation,Medium,535,SYS084,LegacyDesktopApplication19,Desktop Application,15,Windows Server 2008,Certificate-based,ODBC,No,No,AES-128,Yes,No,7.59,Low,Medium,2421466,422,8.43,Low,No,ISO 27001,Advanced,Moderate,33,Identity Proxy,856,15,298,29
ORG085,United Retail Solutions,Retail,Small,408,SYS085,LegacyClient-Server49,Client-Server,13,Windows Server 2008,Certificate-based,SMB,No,No,AES-128,Yes,No,6.97,Medium,Medium,1930311,74,20.4,Medium,Yes,ISO 27001,Basic,Moderate,10,Identity Proxy,896,18,317,3
ORG086,Omega Education Group,Education,Enterprise,40125,SYS086,LegacyDesktopApplication16,Desktop Application,18,Red Hat Linux 5,Password-only,LDAP,No,No,SSL 2.0,Yes,No,3.97,High,Low,1923139,4285,12.78,High,No,ISO 27001,None,Basic,35,Network Overlay,192,295,208,277
ORG087,Beta Transportation Solutions,Transportation,Large,5111,SYS087,LegacyFileServer95,File Server,10,Red Hat Linux 5,LDAP,HTTP,No,No,AES-128,Yes,No,9.58,Low,Critical,13421839,1843,12.1,Low,Yes,ISO 27001,Advanced,Moderate,5,Identity Proxy,642,40,386,76
ORG088,Prime Transportation Group,Transportation,Medium,604,SYS088,LegacyLegacyDatabase83,Legacy Database,15,Red Hat Linux 5,Active Directory,FTP,No,No,AES-128,Yes,No,6.66,Medium,High,5357126,494,10.2,Medium,Yes,ISO 27001,Basic,Comprehensive,21,Identity Proxy,1031,17,417,47
ORG089,Prime Banking Group,Banking,Enterprise,15863,SYS089,LegacyLegacyDatabase59,Legacy Database,13,Windows Server 2008,Kerberos,RDP,No,No,TLS 1.1,Yes,No,6.53,Medium,Critical,20329161,3626,20.61,Medium,Yes,PCI-DSS,Basic,Comprehensive,1,Identity Proxy,374,24,320,247
ORG090,International Telecom Systems,Telecom,Large,9285,SYS090,LegacyMonolithicWebApp55,Monolithic Web App,13,Windows Server 2012,LDAP,SSH,No,No,TLS 1.1,Yes,No,5.33,Medium,Medium,2179776,1026,19.5,Medium,Yes,None,Basic,Comprehensive,15,Identity Proxy,946,48,417,36
ORG091,Delta Telecom Corp,Telecom,Medium,1321,SYS091,LegacyClient-Server86,Client-Server,12,Red Hat Linux 5,Certificate-based,SMB,No,No,TLS 1.1,Yes,No,5.01,Medium,High,4073744,485,12.27,Medium,Yes,ISO 27001,Basic,Comprehensive,24,Identity Proxy,951,5,163,35
ORG092,Beta Healthcare Solutions,Healthcare,Large,3309,SYS092,LegacyFileServer58,File Server,15,Oracle Linux 6,Active Directory,LDAP,No,No,AES-128,Yes,No,7.23,Low,Critical,8740912,1479,10.45,Low,No,HIPAA,Basic,Moderate,36,Identity Proxy,618,48,416,100
