participant_id,age,industry,role,company_size,years_experience,work_location,primary_device,hours_worked_per_day,current_auth_method,daily_auth_count_current,avg_auth_time_seconds_current,zta_policy_tested,zta_auth_count_per_day,zta_interruptions_per_session,avg_auth_time_seconds,baseline_task_completion_seconds,actual_task_completion_seconds,productivity_impact_percent,time_spent_authenticating_daily_minutes,estimated_productivity_loss_minutes,frustration_score,perceived_security_score,willingness_to_use_score,workflow_disruption_score,overall_satisfaction_score,would_circumvent_security,authentication_failures,reported_errors_during_task,preferred_auth_frequency_hours,preferred_auth_methods,acceptable_for_production,felt_secure,would_recommend
P010,51,Education,Admin,Small,20,Home,Mobile,7.4,Biometric,2,7,Traditional,2,2,7,300,312,4.0,0.23,17.75,2.32,5.67,8.41,3.22,4.63,No,0,0,8.0,Hardware Token,No,No,Yes
P010,51,Education,Admin,Small,20,Home,Mobile,7.4,Biometric,2,7,Biometric ZTA,28,2,2,300,319,6.33,0.93,28.11,2.47,7.56,7.63,2.03,5.18,No,1,0,1.0,Biometric,No,Yes,Yes
P011,62,Manufacturing,Support,Small,22,Hybrid,Desktop,9.2,LDAP,3,25,Traditional,3,1,25,300,314,4.67,1.25,25.83,3.09,5.67,8.17,2.3,4.61,No,0,0,1.0,"Biometric, Mobile App",No,No,Yes
P011,62,Manufacturing,Support,Small,22,Hybrid,Desktop,9.2,LDAP,3,25,Biometric ZTA,26,7,3,300,307,2.33,1.3,12.91,3.06,8.12,9.62,3.92,5.19,No,0,0,24.0,Hardware Token,No,Yes,Yes
P012,48,Banking,Manager,Large,11,Home,Mobile,7.5,LDAP,5,30,Biometric ZTA,21,8,5,300,334,11.33,1.75,50.85,2.6,8.84,8.05,3.46,5.21,No,0,0,0.25,"Hardware Token, SSO, Mobile App",No,Yes,Yes
P013,39,Healthcare,Support,Medium,17,Hybrid,Laptop,7.3,Password+SMS,7,22,Aggressive ZTA,60,33,8,300,550,83.33,8.0,367.3,8.79,8.69,3.36,8.31,1.24,Yes,3,0,4.0,Mobile App,No,Yes,No
P013,39,Healthcare,Support,Medium,17,Hybrid,Laptop,7.3,Password+SMS,7,22,Adaptive ZTA,8,11,5,300,368,22.67,0.67,99.91,5.78,8.08,8.16,5.23,3.81,No,0,0,2.0,Email Link,No,Yes,Yes
P014,43,Education,Admin,Large,10,Remote,Mobile,8.2,Biometric,4,26,Aggressive ZTA,43,46,14,300,935,100.0,10.03,492.43,8.85,8.6,2.64,7.0,1.35,No,2,3,4.0,"Mobile App, SSO, Password",No,Yes,No
P014,43,Education,Admin,Large,10,Remote,Mobile,8.2,Biometric,4,26,Traditional,4,2,26,300,345,15.0,1.73,73.86,3.02,5.59,8.92,3.47,4.5,No,0,0,4.0,"Email Link, Password, Mobile App",No,No,Yes
P015,27,Retail,Support,Medium,2,Home,Tablet,8.8,Password+Email,2,6,Biometric ZTA,33,7,3,300,325,8.33,1.65,44.17,3.48,7.49,8.97,1.02,5.49,No,1,0,0.5,Email Link,No,Yes,Yes
P016,55,Insurance,Developer,Large,8,Remote,Mobile,9.9,Password+SMS,3,30,Biometric ZTA,34,3,5,300,323,7.67,2.83,45.31,2.78,7.49,8.91,3.3,5.08,No,0,0,1.0,"Biometric, Mobile App",No,Yes,Yes
P016,55,Insurance,Developer,Large,8,Remote,Mobile,9.9,Password+SMS,3,30,Adaptive ZTA,11,9,10,300,390,30.0,1.83,177.3,5.68,7.16,6.45,4.15,3.45,No,0,0,0.25,"SSO, Mobile App",No,Yes,No
P017,56,Insurance,Engineer,Small,27,Office,Tablet,8.4,Password+SMS,8,23,Adaptive ZTA,14,8,12,300,390,30.0,2.8,151.76,3.82,7.97,7.17,5.01,4.08,No,0,1,24.0,"Hardware Token, Password",No,Yes,Yes
P017,56,Insurance,Engineer,Small,27,Office,Tablet,8.4,Password+SMS,8,23,Aggressive ZTA,47,25,14,300,667,100.0,10.97,505.86,8.69,8.05,2.93,7.41,1.22,Yes,1,0,2.0,"Hardware Token, SSO",No,Yes,No
P018,42,Education,Engineer,Medium,14,Remote,Laptop,9.2,SSO,8,7,Adaptive ZTA,11,6,5,300,311,3.67,0.92,20.34,5.85,7.4,6.06,3.46,3.54,No,0,0,8.0,Password,No,Yes,No
P019,35,Insurance,Support,Large,3,Office,Desktop,9.9,Biometric,6,28,Traditional,6,2,28,300,372,24.0,2.8,142.48,3.35,5.92,7.79,3.43,4.23,No,0,0,0.25,"Mobile App, Password, Biometric",No,No,Yes
P020,58,Banking,Executive,Large,24,Hybrid,Laptop,9.5,Password-only,6,25,Traditional,6,2,25,300,370,23.33,2.5,133.68,3.78,4.92,7.31,2.35,4.02,No,0,0,2.0,"Email Link, Password",No,No,Yes
P020,58,Banking,Executive,Large,24,Hybrid,Laptop,9.5,Password-only,6,25,Aggressive ZTA,38,35,11,300,670,100.0,6.97,572.92,7.84,8.9,3.25,8.71,1.4,Yes,0,2,2.0,"Hardware Token, SSO",No,Yes,No
P021,35,Education,Support,Medium,10,Office,Desktop,7.3,Hardware Token,4,22,Biometric ZTA,27,7,5,300,346,15.33,2.25,66.76,3.34,7.03,7.88,2.21,4.84,No,1,0,8.0,"Mobile App, SSO, Email Link",No,Yes,Yes
P021,35,Education,Support,Medium,10,Office,Desktop,7.3,Hardware Token,4,22,Adaptive ZTA,14,10,10,300,409,36.33,2.33,158.2,3.81,7.5,6.36,3.58,4.12,No,0,0,0.5,Email Link,No,Yes,No
P022,52,Government,Support,Enterprise,27,Hybrid,Desktop,7.9,Password+Email,4,12,Adaptive ZTA,8,5,9,300,333,11.0,1.2,52.18,4.91,8.51,6.31,3.04,4.22,No,0,0,2.0,"Mobile App, Hardware Token",No,Yes,No
P023,25,Government,Specialist,Small,1,Office,Desktop,7.4,Password+SMS,5,7,Traditional,5,1,7,300,322,7.33,0.58,32.77,3.53,5.21,8.58,2.45,4.45,No,0,0,2.0,"Password, SSO",No,No,Yes
P023,25,Government,Specialist,Small,1,Office,Desktop,7.4,Password+SMS,5,7,Biometric ZTA,29,6,2,300,331,10.33,0.97,46.18,4.88,7.2,9.29,2.88,4.68,No,0,0,0.5,Hardware Token,No,Yes,Yes
P024,57,Healthcare,Manager,Small,29,Hybrid,Laptop,7.7,Hardware Token,6,20,Biometric ZTA,27,4,3,300,319,6.33,1.35,29.24,2.34,7.45,7.45,1.8,5.19,No,0,0,0.25,Mobile App,No,Yes,Yes
P024,57,Healthcare,Manager,Small,29,Hybrid,Laptop,7.7,Hardware Token,6,20,Traditional,6,3,20,300,376,25.33,2.0,116.96,3.84,4.88,7.94,2.61,4.09,No,0,0,4.0,"SSO, Email Link, Biometric",No,No,Yes
P025,60,Banking,Engineer,Large,39,Home,Laptop,10.0,SSO,2,7,Traditional,2,2,7,300,327,9.0,0.23,53.99,3.3,5.83,7.36,3.17,4.18,No,0,0,2.0,"SSO, Mobile App",No,No,Yes
P025,60,Banking,Engineer,Large,39,Home,Laptop,10.0,SSO,2,7,Biometric ZTA,30,7,2,300,304,1.33,1.0,8.0,2.99,8.39,7.86,3.84,4.86,No,1,0,0.25,"Mobile App, Email Link",No,Yes,Yes
P026,29,Manufacturing,Developer,Large,8,Hybrid,Tablet,8.9,Password+SMS,2,11,Aggressive ZTA,38,42,10,300,718,100.0,6.33,532.57,8.31,9.4,1.36,9.92,1.0,Yes,0,1,1.0,"Biometric, Password, SSO",No,Yes,No
P027,27,Retail,Admin,Large,1,Remote,Mobile,8.5,Hardware Token,8,9,Biometric ZTA,35,3,5,300,330,10.0,2.92,51.16,2.43,7.38,8.8,3.24,5.13,No,0,0,1.0,"Mobile App, Password",No,Yes,Yes
P027,27,Retail,Admin,Large,1,Remote,Mobile,8.5,Hardware Token,8,9,Aggressive ZTA,38,25,12,300,599,99.67,7.6,509.89,9.51,9.16,2.98,9.6,1.0,Yes,1,3,1.0,"Password, SSO, Email Link",No,Yes,No
P028,42,Retail,Analyst,Large,8,Office,Mobile,9.2,LDAP,8,18,Biometric ZTA,40,3,5,300,297,-1.0,3.33,-5.54,2.38,8.93,8.0,1.3,5.81,No,0,0,4.0,"Biometric, Hardware Token",No,Yes,Yes
P028,42,Retail,Analyst,Large,8,Office,Mobile,9.2,LDAP,8,18,Adaptive ZTA,14,7,6,300,352,17.33,1.4,96.03,5.34,7.53,7.87,4.19,3.97,No,0,0,24.0,"Password, SSO, Mobile App",No,Yes,Yes
P029,62,Insurance,Developer,Large,16,Home,Laptop,8.3,Hardware Token,7,14,Traditional,7,2,14,300,318,6.0,1.63,29.89,3.39,5.81,7.09,3.59,3.98,No,0,0,1.0,"Hardware Token, Email Link",No,No,Yes
P030,55,Manufacturing,Manager,Medium,6,Home,Tablet,9.7,Biometric,8,17,Aggressive ZTA,44,45,12,300,849,100.0,8.8,584.31,7.77,8.02,3.41,9.7,1.0,Yes,0,1,2.0,"Password, Mobile App",No,Yes,No
P031,62,Manufacturing,Support,Large,20,Office,Desktop,8.1,Password+Email,5,20,Adaptive ZTA,12,5,11,300,352,17.33,2.2,84.7,3.02,8.73,8.33,5.92,4.53,No,0,0,24.0,Password,No,Yes,Yes
P031,62,Manufacturing,Support,Large,20,Office,Desktop,8.1,Password+Email,5,20,Biometric ZTA,31,3,3,300,328,9.33,1.55,45.61,2.75,8.51,9.3,3.04,5.5,No,0,0,8.0,"Biometric, Mobile App, SSO",No,Yes,Yes
P032,24,Education,Manager,Small,2,Home,Desktop,7.4,SSO,7,18,Adaptive ZTA,12,12,9,300,409,36.33,1.8,161.24,5.41,7.94,6.23,5.26,3.37,No,0,0,24.0,"Mobile App, Biometric, SSO",No,Yes,No
P032,24,Education,Manager,Small,2,Home,Desktop,7.4,SSO,7,18,Traditional,7,1,18,300,314,4.67,2.1,20.71,3.07,4.91,8.35,3.34,4.21,No,0,0,0.25,"Hardware Token, SSO, Biometric",No,No,Yes
P033,61,Education,Analyst,Large,30,Remote,Laptop,7.4,Hardware Token,4,25,Adaptive ZTA,15,6,6,300,331,10.33,1.5,46.0,5.66,7.27,7.36,5.01,3.49,No,0,0,2.0,"Biometric, SSO, Password",No,Yes,Yes
P034,39,Banking,Executive,Medium,15,Office,Mobile,8.6,Password+Email,8,16,Traditional,8,2,16,300,324,8.0,2.13,41.44,3.94,5.9,8.65,2.18,4.61,No,0,0,0.25,"Hardware Token, Email Link",No,No,Yes
P034,39,Banking,Executive,Medium,15,Office,Mobile,8.6,Password+Email,8,16,Aggressive ZTA,55,43,11,300,757,100.0,10.08,518.0,9.49,9.11,2.76,9.44,1.0,No,0,6,24.0,"Biometric, Mobile App, Hardware Token",No,Yes,No
P035,30,Government,Manager,Small,1,Home,Mobile,7.0,Password+Email,2,16,Traditional,2,3,16,300,354,18.0,0.53,76.11,3.05,5.49,7.95,3.56,4.21,No,0,0,4.0,Password,No,No,Yes
P035,30,Government,Manager,Small,1,Home,Mobile,7.0,Password+Email,2,16,Biometric ZTA,21,7,4,300,337,12.33,1.4,52.15,3.93,7.06,10.0,3.54,4.9,No,0,1,2.0,"SSO, Biometric, Password",No,Yes,Yes
P036,42,Tech,Admin,Small,20,Hybrid,Tablet,10.0,Hardware Token,6,22,Biometric ZTA,39,5,2,300,297,-1.0,1.3,-5.99,4.56,8.3,9.31,3.16,4.97,No,1,0,2.0,SSO,No,Yes,Yes
P036,42,Tech,Admin,Small,20,Hybrid,Tablet,10.0,Hardware Token,6,22,Adaptive ZTA,13,12,11,300,438,46.0,2.38,275.56,5.19,7.63,6.94,3.76,3.9,No,0,0,0.25,Biometric,No,Yes,No
P037,27,Manufacturing,Admin,Large,3,Office,Mobile,9.0,LDAP,3,22,Adaptive ZTA,14,5,9,300,363,21.0,2.1,113.53,3.94,7.21,7.52,3.46,4.33,No,0,0,24.0,Mobile App,No,Yes,Yes
P037,27,Manufacturing,Admin,Large,3,Office,Mobile,9.0,LDAP,3,22,Biometric ZTA,37,4,2,300,305,1.67,1.23,9.01,3.72,8.61,9.54,3.92,5.13,No,1,0,0.25,Mobile App,No,Yes,Yes
P038,41,Education,Executive,Small,5,Office,Desktop,9.2,Biometric,7,17,Traditional,7,3,17,300,364,21.33,1.98,118.05,2.43,4.84,7.68,2.74,4.34,No,0,0,0.25,Hardware Token,No,No,Yes
P039,61,Banking,Admin,Medium,28,Remote,Mobile,7.6,Password+SMS,6,19,Adaptive ZTA,14,6,9,300,371,23.67,2.1,108.58,4.46,8.33,6.14,4.19,3.96,No,0,0,0.5,"Hardware Token, Email Link",No,Yes,No
P040,38,Government,Executive,Small,16,Home,Tablet,8.6,Hardware Token,5,10,Adaptive ZTA,9,11,5,300,362,20.67,0.75,106.61,3.06,8.84,8.59,4.73,4.91,No,0,1,1.0,SSO,No,Yes,Yes
P041,23,Education,Manager,Enterprise,2,Office,Tablet,9.5,LDAP,7,16,Biometric ZTA,38,5,2,300,315,5.0,1.27,28.6,4.61,8.49,7.66,3.34,4.55,No,0,0,4.0,"Hardware Token, Mobile App, Password",No,Yes,Yes
P042,63,Tech,Analyst,Small,17,Home,Laptop,7.5,Password+Email,3,24,Biometric ZTA,38,5,4,300,340,13.33,2.53,60.25,2.95,7.88,8.41,2.89,5.11,No,0,0,1.0,"Biometric, Mobile App, SSO",No,Yes,Yes
P042,63,Tech,Analyst,Small,17,Home,Laptop,7.5,Password+Email,3,24,Adaptive ZTA,15,5,5,300,328,9.33,1.25,42.18,5.5,7.15,8.59,5.57,3.67,No,0,0,4.0,"Email Link, Biometric, SSO",No,Yes,Yes
P043,58,Retail,Executive,Large,33,Office,Mobile,9.9,Password+Email,2,19,Aggressive ZTA,31,32,19,300,916,100.0,9.82,596.83,9.97,9.05,2.83,8.09,1.0,Yes,1,3,24.0,"Email Link, Password",No,Yes,No
P044,25,Education,Admin,Medium,4,Home,Mobile,7.2,SSO,4,28,Adaptive ZTA,12,11,7,300,395,31.67,1.4,137.65,5.13,7.17,7.68,4.93,3.7,No,0,1,8.0,"Email Link, Password, Biometric",No,Yes,Yes
P045,63,Manufacturing,Executive,Small,20,Remote,Desktop,7.7,Password+Email,3,15,Aggressive ZTA,32,34,20,300,966,100.0,10.67,460.78,8.52,9.08,3.22,8.58,1.3,Yes,0,4,4.0,"Hardware Token, Email Link",No,Yes,No
P046,33,Tech,Specialist,Small,6,Remote,Mobile,9.3,Hardware Token,7,12,Aggressive ZTA,37,34,20,300,990,100.0,12.33,555.43,9.71,8.39,3.03,8.71,1.0,Yes,1,2,4.0,"SSO, Hardware Token, Password",No,Yes,No
P046,33,Tech,Specialist,Small,6,Remote,Mobile,9.3,Hardware Token,7,12,Adaptive ZTA,10,9,5,300,355,18.33,0.83,101.83,5.62,8.11,6.31,5.54,3.31,No,0,0,0.25,Mobile App,No,Yes,No
P047,50,Tech,Engineer,Small,8,Office,Tablet,7.2,LDAP,5,16,Aggressive ZTA,32,36,11,300,677,100.0,5.87,429.59,7.96,8.2,3.14,8.01,1.35,No,1,0,24.0,"Email Link, Hardware Token",No,Yes,No
P047,50,Tech,Engineer,Small,8,Office,Tablet,7.2,LDAP,5,16,Biometric ZTA,35,5,2,300,295,-1.67,1.17,-7.16,2.06,7.43,7.45,3.82,4.75,No,0,0,24.0,"Hardware Token, Mobile App",No,Yes,Yes
P048,29,Banking,Analyst,Medium,8,Office,Desktop,9.2,Password-only,2,20,Biometric ZTA,39,4,3,300,328,9.33,1.95,51.27,3.25,8.33,7.26,3.92,4.6,No,0,0,2.0,"Biometric, SSO",No,Yes,Yes
P048,29,Banking,Analyst,Medium,8,Office,Desktop,9.2,Password-only,2,20,Traditional,2,2,20,300,336,12.0,0.67,65.92,3.49,4.71,7.14,2.48,3.97,No,0,0,0.5,Mobile App,No,No,Yes
P049,56,Education,Manager,Enterprise,30,Home,Desktop,7.2,Hardware Token,5,25,Traditional,5,1,25,300,307,2.33,2.08,10.07,3.58,5.77,7.63,2.62,4.3,No,0,0,1.0,Email Link,No,No,Yes
P049,56,Education,Manager,Enterprise,30,Home,Desktop,7.2,Hardware Token,5,25,Aggressive ZTA,36,34,13,300,725,100.0,7.8,431.36,9.6,8.66,1.37,8.1,1.0,Yes,1,5,2.0,"Hardware Token, SSO",No,Yes,No
P050,53,Education,Support,Enterprise,28,Home,Mobile,8.0,Password-only,5,24,Adaptive ZTA,12,9,12,300,426,42.0,2.4,200.68,5.15,7.33,7.33,4.34,3.79,No,0,1,1.0,"Biometric, Email Link, SSO",No,Yes,Yes
P051,45,Tech,Developer,Small,20,Office,Desktop,7.2,Hardware Token,8,19,Adaptive ZTA,8,7,12,300,387,29.0,1.6,125.31,4.12,8.53,7.72,4.59,4.39,No,0,1,8.0,"Hardware Token, Biometric",No,Yes,Yes
P051,45,Tech,Developer,Small,20,Office,Desktop,7.2,Hardware Token,8,19,Aggressive ZTA,30,48,10,300,791,100.0,5.0,432.1,8.55,9.83,1.35,9.32,1.0,Yes,1,3,8.0,"Hardware Token, Biometric",No,Yes,No
P052,30,Healthcare,Specialist,Medium,8,Hybrid,Mobile,9.1,Password-only,8,26,Adaptive ZTA,10,10,8,300,367,22.33,1.33,122.32,5.96,8.58,6.71,4.48,3.71,No,0,1,2.0,"Hardware Token, Password, Biometric",No,Yes,No
P052,30,Healthcare,Specialist,Medium,8,Hybrid,Mobile,9.1,Password-only,8,26,Traditional,8,1,26,300,325,8.33,3.47,45.64,2.8,5.43,7.96,2.82,4.44,No,0,0,0.5,"Email Link, Biometric",No,No,Yes
P053,50,Insurance,Executive,Small,27,Home,Desktop,8.3,LDAP,6,25,Traditional,6,3,25,300,364,21.33,2.5,106.21,2.61,4.32,8.87,2.45,4.53,No,0,0,1.0,Email Link,No,No,Yes
P054,57,Government,Manager,Large,35,Home,Desktop,7.5,Password-only,6,25,Traditional,6,1,25,300,307,2.33,2.5,10.52,3.9,5.54,7.53,2.42,4.19,No,0,0,2.0,"Password, Mobile App, Email Link",No,No,Yes
P054,57,Government,Manager,Large,35,Home,Desktop,7.5,Password-only,6,25,Biometric ZTA,35,3,5,300,314,4.67,2.92,21.04,3.36,8.38,7.47,2.25,5.06,No,0,0,1.0,"Hardware Token, Mobile App, Password",No,Yes,Yes
P055,44,Manufacturing,Manager,Large,17,Home,Tablet,7.4,Biometric,2,15,Aggressive ZTA,33,26,12,300,616,100.0,6.6,442.05,9.59,8.84,3.89,9.71,1.0,Yes,0,2,24.0,SSO,No,Yes,No
P055,44,Manufacturing,Manager,Large,17,Home,Tablet,7.4,Biometric,2,15,Traditional,2,3,15,300,354,18.0,0.5,79.57,3.0,4.62,7.05,3.89,3.69,No,0,0,0.5,"Mobile App, Biometric, Password",No,No,Yes
P056,40,Insurance,Specialist,Medium,1,Home,Mobile,9.2,LDAP,2,18,Adaptive ZTA,14,5,8,300,343,14.33,1.87,78.97,4.66,7.15,7.51,5.29,3.68,No,0,0,0.5,SSO,No,Yes,Yes
P056,40,Insurance,Specialist,Medium,1,Home,Mobile,9.2,LDAP,2,18,Traditional,2,2,18,300,337,12.33,0.6,67.95,3.12,4.73,7.29,3.2,3.92,No,0,0,0.25,Hardware Token,No,No,Yes
P057,43,Insurance,Specialist,Small,17,Hybrid,Desktop,8.2,Password+Email,4,24,Adaptive ZTA,15,9,12,300,389,29.67,3.0,145.58,4.11,8.35,8.94,4.75,4.61,No,0,0,1.0,"Password, Email Link, Hardware Token",No,Yes,Yes
P057,43,Insurance,Specialist,Small,17,Hybrid,Desktop,8.2,Password+Email,4,24,Biometric ZTA,21,6,5,300,320,6.67,1.75,32.72,3.57,8.44,9.32,2.14,5.51,No,0,0,4.0,"Biometric, Hardware Token, Email Link",No,Yes,Yes
P058,50,Education,Engineer,Medium,23,Remote,Laptop,9.1,Password+Email,5,21,Adaptive ZTA,15,11,10,300,401,33.67,2.5,184.17,4.38,8.07,7.64,5.03,4.07,No,0,1,0.5,Mobile App,No,Yes,Yes
P059,57,Government,Analyst,Enterprise,20,Home,Tablet,8.0,LDAP,4,27,Adaptive ZTA,9,11,11,300,423,41.0,1.65,195.6,5.86,8.61,6.87,3.86,3.94,No,0,0,2.0,"Mobile App, SSO, Hardware Token",No,Yes,No
P059,57,Government,Analyst,Enterprise,20,Home,Tablet,8.0,LDAP,4,27,Aggressive ZTA,36,42,12,300,819,100.0,7.2,477.07,9.09,8.27,2.85,8.76,1.0,No,0,5,8.0,Biometric,No,Yes,No
P060,28,Manufacturing,Executive,Large,1,Office,Desktop,8.2,Hardware Token,8,9,Biometric ZTA,26,8,4,300,332,10.67,1.73,52.61,2.86,7.12,9.31,2.96,5.15,No,0,0,0.5,"Hardware Token, Biometric",No,Yes,Yes
P060,28,Manufacturing,Executive,Large,1,Office,Desktop,8.2,Hardware Token,8,9,Adaptive ZTA,14,12,7,300,382,27.33,1.63,134.82,5.63,7.02,7.7,3.32,3.94,No,0,1,2.0,"Password, Email Link, SSO",No,Yes,Yes
P061,30,Insurance,Support,Medium,2,Remote,Mobile,9.2,SSO,3,28,Adaptive ZTA,12,8,7,300,375,25.0,1.4,137.34,5.57,8.79,8.48,4.55,4.29,No,0,0,8.0,Hardware Token,No,Yes,Yes
P062,30,Insurance,Executive,Enterprise,1,Remote,Mobile,9.9,SSO,5,12,Traditional,5,3,12,300,339,13.0,1.0,76.92,3.39,4.12,7.24,2.61,3.84,No,0,0,8.0,Email Link,No,No,Yes
P062,30,Insurance,Executive,Enterprise,1,Remote,Mobile,9.9,SSO,5,12,Aggressive ZTA,59,34,13,300,761,100.0,12.78,591.73,7.66,9.91,2.43,8.36,1.58,Yes,1,2,8.0,"SSO, Password, Hardware Token",No,Yes,No
P063,37,Healthcare,Specialist,Large,12,Office,Desktop,8.7,Password-only,6,8,Aggressive ZTA,40,41,15,300,902,100.0,10.0,523.09,9.04,9.43,2.47,9.7,1.0,Yes,1,0,0.5,"SSO, Email Link, Biometric",No,Yes,No
P064,57,Insurance,Support,Large,26,Home,Laptop,7.1,SSO,8,5,Traditional,8,1,5,300,289,-3.67,0.67,-15.7,3.97,4.94,7.57,2.36,4.05,No,0,0,1.0,"SSO, Email Link",No,No,Yes
P064,57,Insurance,Support,Large,26,Home,Laptop,7.1,SSO,8,5,Adaptive ZTA,14,6,7,300,344,14.67,1.63,62.8,3.36,8.99,7.18,3.38,4.86,No,0,0,24.0,Mobile App,No,Yes,Yes
P065,51,Manufacturing,Engineer,Enterprise,8,Hybrid,Desktop,9.8,Password+SMS,4,9,Traditional,4,3,9,300,333,11.0,0.6,64.76,3.23,5.87,8.78,2.48,4.73,No,0,0,4.0,SSO,No,No,Yes
P066,60,Banking,Analyst,Large,26,Home,Laptop,7.4,Password+SMS,3,22,Aggressive ZTA,48,35,17,300,913,100.0,13.6,445.22,9.32,9.64,1.71,9.63,1.0,Yes,0,4,2.0,"Mobile App, Biometric",No,Yes,No
P066,60,Banking,Analyst,Large,26,Home,Laptop,7.4,Password+SMS,3,22,Adaptive ZTA,10,11,12,300,415,38.33,2.0,170.67,5.92,8.88,8.01,5.36,3.91,No,0,1,2.0,Mobile App,No,Yes,Yes
P067,46,Tech,Specialist,Medium,8,Home,Tablet,9.7,SSO,8,27,Biometric ZTA,36,3,5,300,310,3.33,3.0,19.49,2.76,7.66,7.24,2.35,4.95,No,0,0,4.0,"Hardware Token, Biometric, Mobile App",No,Yes,Yes
P067,46,Tech,Specialist,Medium,8,Home,Tablet,9.7,SSO,8,27,Adaptive ZTA,14,5,6,300,322,7.33,1.4,42.87,5.41,8.18,8.01,3.65,4.28,No,0,0,1.0,Hardware Token,No,Yes,Yes
P068,34,Healthcare,Specialist,Enterprise,12,Remote,Desktop,8.7,Biometric,7,11,Biometric ZTA,37,7,4,300,327,9.0,2.47,46.74,2.78,8.03,8.49,1.3,5.61,No,1,1,0.5,"Mobile App, SSO",No,Yes,Yes
P068,34,Healthcare,Specialist,Enterprise,12,Remote,Desktop,8.7,Biometric,7,11,Aggressive ZTA,31,43,11,300,762,100.0,5.68,519.37,7.05,9.11,2.75,9.16,1.41,No,1,1,0.5,"Password, Hardware Token",No,Yes,No
